Row.names	sig	Pattern	FC_x_axis	FC_y_axis	padj	ENTREZID
PTGES	Sen_low	Pro < Sen < Qui	-3.5364865754349	-5.86037980327031	1.10459419389031e-11	9536
PTGES3L-AARSD1	Sen_high	Pro > Sen > Qui	1.60586045837372	3.35503355814803	8.30409294660939e-08	100885850
PTGIR	Sen_high	Pro > Qui > Sen	3.38743782826182	2.42011753491298	1.11022302462516e-16	5739
PTGS1	Sen_low	Pro = Qui < Sen	-2.46237051635025	-2.6193373784184	0	5742
PTGS2	Sen_high	Pro > Qui > Sen	5.03308799925472	1.05538698293297	0	5743
PTK2B	Sen_low	Pro = Qui < Sen	-1.86049786739897	-1.98385086922097	0	2185
PTK7	Sen_low	Pro = Qui < Sen	-1.84950841492428	-2.03502982222713	0	5754
PTN	Sen_low	Pro < Qui < Sen	-4.31480634524757	-3.77945460886996	0	5764
PTPN12	Sen_high	Pro > Sen > Qui	1.51062730066898	1.64217177557462	1.11022302462516e-16	5782
PTPN4	Sen_low	Pro = Qui < Sen	-1.23711757014252	-1.19390984336112	0	5775
PTPRE	Sen_high	Pro = Qui > Sen	3.41911166953752	2.56983729556506	8.88178419700125e-16	5791
PTPRG	Sen_low	Pro = Qui < Sen	-1.24606551043905	-1.22442268437992	0	5793
PTPRK	Sen_low	Pro = Qui < Sen	-1.18108499808237	-1.37380400960249	0	5796
PTPRM	Sen_low	Pro < Sen < Qui	-1.90362083374513	-2.35116151849176	0	5797
PTPRU	Sen_high	Pro > Qui > Sen	2.01330140209319	1.44932888316616	1.11022302462516e-16	10076
PTRH1	Sen_high	Pro = Qui > Sen	1.63901182517588	1.75661228571342	0	138428
PTRH2	Sen_high	Pro = Qui > Sen	1.50154455167401	1.4731576124299	0	51651
PTX3	Sen_high	Pro = Qui > Sen	1.26391663005744	1.60391551499072	1.09872265063871e-07	5806
PURG	Sen_low	Pro < Sen < Qui	-1.42088514235466	-2.32736153270241	0	29942
PUS1	Sen_high	Pro = Qui > Sen	1.16623033058753	1.32278089873757	0	80324
PUS7	Sen_high	Pro > Sen > Qui	1.04643490309181	1.74893501072126	0	54517
PXK	Sen_low	Pro = Qui < Sen	-2.06625929614944	-2.42431310463533	1.11022302462516e-16	54899
PXMP2	Sen_low	Pro = Qui < Sen	-1.71425848743716	-1.58473166646606	0	5827
PXMP4	Sen_low	Pro = Qui < Sen	-1.36458306902902	-1.31047098208993	0	11264
PXN	Sen_high	Pro = Qui > Sen	2.38580896355652	2.68705393703174	0	5829
PYROXD2	Sen_low	Pro < Sen < Qui	-2.1556399310784	-2.45183864902782	0	84795
QPCT	Sen_high	Pro = Qui > Sen	4.64181452241045	4.62254863247864	0	25797
QPCTL	Sen_high	Pro > Sen > Qui	1.78753576211156	2.13151765495204	0	54814
